,price,accommodates,beds,bathrooms,number_of_reviews,rating,lat,lon,superhost,response_rate,bedrooms_1,bedrooms_2,bedrooms_3,bedrooms_4,bedrooms_5,bedrooms_6,bedrooms_7,bedrooms_8,bedrooms_studio,room_type_Entire apartment,room_type_Entire condominium,room_type_Entire loft,room_type_Entire serviced apartment,room_type_Entire townhouse,room_type_Private room in apartment,room_type_others
138,49.0,1,1.0,1.0,31,5.0,40.80674461,-73.95336847,1,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
139,51.0,2,1.0,1.0,77,5.0,40.82646838,-73.94747392,1,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
140,46.0,2,1.0,1.0,28,4.5,40.76967811,-73.95890423,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
141,52.0,2,1.0,1.0,32,5.0,40.81799702,-73.94134105,1,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
142,42.0,1,1.0,1.0,13,5.0,40.80033423,-73.94100268,1,99%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
143,35.0,1,1.0,1.0,12,4.0,40.76047501,-73.94068364,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
144,40.0,1,1.0,1.0,20,4.5,40.77853807,-73.95073409,0,69%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145,50.0,2,1.0,1.0,75,5.0,40.84063026,-73.9392828,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
146,53.0,2,1.0,1.0,38,4.5,40.80938793,-73.93753614,0,99%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
147,46.0,3,1.0,1.0,125,4.5,40.85295058,-73.93361075,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
148,50.0,2,1.0,1.0,17,5.0,40.77498528,-73.93565329,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
149,47.0,4,3.0,1.0,121,5.0,40.8549408,-73.93178821,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
150,45.0,1,1.0,1.0,22,4.5,40.76256959,-73.9888628,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
151,50.0,1,1.0,1.5,40,5.0,40.82741623,-73.94878139,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
152,51.0,5,4.0,1.0,44,4.5,40.81954742,-73.95585322,0,100%,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
153,49.0,1,1.0,1.0,26,5.0,40.76466906,-73.98823959,1,99%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
154,50.0,3,2.0,1.0,152,4.5,40.79903412,-73.95406295,1,71%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
155,49.0,1,1.0,2.0,45,4.5,40.78983305,-73.94419090000001,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
156,49.0,2,1.0,2.0,0,0.0,40.81375655,-73.95954487,0,no info,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
157,49.0,2,1.0,2.0,12,5.0,40.74091161,-73.98228623,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
158,50.0,2,2.0,1.0,1,0.0,40.80458025,-73.96100675,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
159,50.0,2,1.0,1.0,19,5.0,40.83798637,-73.94035933,1,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
160,43.0,2,1.0,1.0,0,0.0,40.81221064,-73.95342417,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
161,51.0,2,1.0,2.0,17,4.5,40.77566451,-73.95414165,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
162,50.0,2,1.0,1.0,1,0.0,40.80434427,-73.96489705,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
163,49.0,2,1.0,1.0,12,4.5,40.80155568,-73.93808868,1,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
164,45.0,1,1.0,1.0,30,4.5,40.82233393,-73.95568379,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
165,45.0,2,1.0,1.0,38,4.5,40.82204229999999,-73.94293358,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
166,45.0,2,2.0,1.0,15,4.5,40.76293816,-73.98801689,1,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
167,32.0,3,2.0,1.0,5,4.0,40.81829866,-73.93827777,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
168,45.0,2,1.0,1.0,31,4.5,40.8144939,-73.95197178,0,46%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
169,49.0,2,1.0,1.0,23,4.5,40.78352264,-73.95274892,0,100%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
170,53.0,2,1.0,1.0,90,5.0,40.842887700000006,-73.92687509999999,0,96%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
171,30.0,2,1.0,1.0,1,0.0,40.85664442,-73.91576861,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
172,39.0,2,1.0,1.0,2,0.0,40.82664668,-73.93834395,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
173,52.0,3,2.0,1.0,30,4.5,40.72986299,-73.98751448,0,98%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
174,49.0,1,1.0,1.0,13,5.0,40.76471123,-73.99024852,1,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
175,30.0,1,1.0,1.0,0,0.0,40.82424445,-73.93752516,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
176,50.0,2,1.0,1.0,0,0.0,40.72490537,-73.97564895,0,63%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
177,52.0,2,1.0,2.0,27,5.0,40.79972237,-73.96280586,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
178,50.0,1,1.0,1.0,45,5.0,40.71817568,-73.98922178,1,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
179,45.0,2,1.0,1.0,0,0.0,40.80429898,-73.96341676,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
180,48.0,2,1.0,1.0,0,0.0,40.80307473,-73.96386278,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
181,46.0,1,1.0,1.0,9,5.0,40.82252619,-73.95524624,1,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
182,50.0,2,1.0,1.0,7,4.5,40.80400204,-73.95411567,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
183,47.0,2,1.0,1.0,20,4.5,40.82172671,-73.95547627,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
184,49.0,2,1.0,1.0,12,4.0,40.79975698,-73.95118708,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
185,44.0,3,1.0,2.0,20,5.0,40.82815763,-73.94957162,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
186,42.0,2,1.0,1.0,87,4.5,40.86789534,-73.90023011,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
187,44.0,2,1.0,1.0,8,5.0,40.86564802,-73.92347984,1,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
190,45.0,3,2.0,1.0,22,5.0,40.85735286,-73.92980476,0,100%,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192,50.0,2,1.0,1.0,11,4.5,40.82174938,-73.95109037,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
193,53.0,2,1.0,1.0,77,5.0,40.84111326,-73.9251333,0,96%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
