,price,accommodates,beds,bathrooms,number_of_reviews,rating,superhost,bedrooms_1,bedrooms_2,bedrooms_3,bedrooms_4,bedrooms_5,bedrooms_6,bedrooms_7,bedrooms_8,bedrooms_studio,room_type_Entire apartment,room_type_Entire condominium,room_type_Entire loft,room_type_Entire serviced apartment,room_type_Entire townhouse,room_type_Private room in apartment,room_type_others
171,30.0,2,1.0,1.0,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
172,39.0,2,1.0,1.0,2,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
173,52.0,3,2.0,1.0,30,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
174,49.0,1,1.0,1.0,13,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
175,30.0,1,1.0,1.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
176,50.0,2,1.0,1.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
177,52.0,2,1.0,2.0,27,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
178,50.0,1,1.0,1.0,45,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
179,45.0,2,1.0,1.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
180,48.0,2,1.0,1.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
181,46.0,1,1.0,1.0,9,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
182,50.0,2,1.0,1.0,7,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
183,47.0,2,1.0,1.0,20,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
184,49.0,2,1.0,1.0,12,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
185,44.0,3,1.0,2.0,20,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
186,42.0,2,1.0,1.0,87,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
187,44.0,2,1.0,1.0,8,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
190,45.0,3,2.0,1.0,22,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192,50.0,2,1.0,1.0,11,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
193,53.0,2,1.0,1.0,77,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
194,41.0,1,1.0,1.0,9,4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
196,40.0,1,1.0,1.0,16,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
197,40.0,1,1.0,1.0,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
198,40.0,1,1.0,1.0,2,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
199,41.0,1,0.0,1.0,5,4.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
200,49.0,1,1.0,1.0,17,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
201,50.0,2,1.0,1.0,31,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
202,50.0,1,1.0,1.0,26,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
203,53.0,2,1.0,1.0,71,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
204,45.0,1,1.0,1.0,3,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
205,49.0,2,1.0,1.0,24,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
206,43.0,3,2.0,1.0,30,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
207,50.0,2,1.0,1.0,6,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
208,35.0,1,1.0,1.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
209,42.0,1,1.0,1.0,14,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
210,45.0,1,1.0,1.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
211,50.0,6,3.0,1.0,0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
212,53.0,2,1.0,1.0,54,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
213,40.0,2,1.0,1.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
214,35.0,2,1.0,1.0,19,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
215,45.0,2,1.0,1.0,7,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
216,49.0,2,1.0,1.0,19,4.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
217,46.0,1,1.0,1.0,5,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
218,40.0,2,2.0,1.0,13,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
219,36.0,1,1.0,1.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
220,38.0,2,1.0,2.0,4,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
221,50.0,1,1.0,2.0,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
222,40.0,2,1.0,1.0,4,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
223,51.0,2,1.0,1.0,6,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
224,30.0,1,1.0,1.0,64,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
225,43.0,2,1.0,1.0,19,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
226,38.0,1,1.0,1.0,4,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
227,30.0,2,1.0,1.0,47,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
228,49.0,2,1.0,1.0,19,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
230,49.0,2,1.0,1.0,103,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
231,45.0,2,1.0,1.0,5,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
232,53.0,2,1.0,1.0,45,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
233,38.0,2,1.0,1.0,7,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
234,34.0,1,1.0,1.0,14,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
235,45.0,2,2.0,1.0,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
236,36.0,1,1.0,1.0,117,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
237,43.0,2,1.0,1.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
238,45.0,2,1.0,1.0,74,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
239,40.0,1,2.0,1.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
240,64.0,2,1.0,1.0,336,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
241,62.0,2,1.0,1.0,206,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
242,70.0,2,1.0,1.0,88,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
243,67.0,2,1.0,1.0,198,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
244,70.0,1,1.0,1.0,105,4.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
245,60.0,2,1.0,1.0,39,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
